id,npo,nsols,avg_naff,nfrozen,minr,avgr,minr_extr,minr_extl,npstn,nlo,bs,ac
3-1,1,1,3.0,3,0,0.0,0,0,1.6666666666666667,1,6,-0.344285714286
3-2,2,2,3.0,1,1,1.0,0,0,2.0,2,6,-0.167804987005
4-1,1,1,17.0,4,5,5.0,2,2,2.5,3,24,-0.140197447206
4-2,3,3,4.0,0,2,2.3333333333333335,0,0,3.0,5,24,-0.133865414592
4-3,2,4,4.0,0,1,1.0,0,0,2.75,4,24,-0.088821185678
4-4,3,4,4.0,0,1,2.0,0,0,2.75,4,24,-0.0406029027141
4-5,2,2,6.5,2,3,3.0,0,1,2.75,2,23,-0.295716690109
4-6,1,1,20.0,4,5,5.0,2,2,2.75,5,24,-0.0934774454883
4-7,4,5,4.0,0,2,2.0,0,0,3.0,5,24,-0.0538806828573
5-1,2,6,8.0,2,3,3.5,0,1,3.6,7,118,0.0200273642667
5-2,1,1,23.0,5,9,9.0,1,2,3.4,12,64,-0.143813618722
5-3,4,8,7.25,0,2,3.0,0,0,3.8,9,119,0.0455177241917
5-4,2,3,14.0,1,2,4.5,1,0,3.4,5,109,0.110032265087
5-5,1,1,27.0,5,8,8.0,1,2,3.6,13,71,-0.0146534871902
5-6,4,8,7.5,0,2,2.5,0,0,3.6,8,120,0.0969962940826
5-7,1,2,39.0,3,4,4.0,0,1,3.4,7,97,0.143642838588
6-1,3,6,37.333333333333336,3,5,6.666666666666667,0,0,4.5,13,470,0.238450497977
6-2,4,14,6.0,0,3,4.0,0,0,4.5,18,670,0.276957019615
6-3,1,1,76.0,6,16,16.0,2,3,4.333333333333333,28,122,0.0430151989859
6-4,7,16,11.285714285714286,0,6,6.714285714285714,0,0,4.5,19,681,0.258999982252
6-5,1,5,33.0,2,5,5.0,1,0,4.5,25,451,0.271619179566
6-6,2,4,51.5,1,6,6.0,0,2,4.5,18,433,0.297418370752
6-7,1,1,87.0,6,18,18.0,4,3,4.333333333333333,24,136,0.151461224724
6-8,3,12,11.666666666666666,0,3,3.3333333333333335,0,0,4.5,18,657,0.270942928641
7-1,6,25,34.166666666666664,1,4,6.833333333333333,0,0,5.285714285714286,42,3039,0.363872676161
7-2,6,42,30.666666666666668,0,4,5.333333333333333,0,0,5.428571428571429,68,4078,0.389097554455
7-3,2,4,200.5,1,11,16.5,2,0,5.571428571428571,60,727,0.306269349363
7-4,1,8,7.0,0,0,0.0,0,0,5.285714285714286,53,1400,0.339653683131
7-5,6,50,11.333333333333334,0,4,5.666666666666667,0,0,5.571428571428571,60,4332,0.383389022942
7-6,10,22,51.3,0,7,9.4,1,0,5.571428571428571,80,3099,0.402947315077
7-7,10,33,23.6,0,6,7.8,0,0,5.714285714285714,55,3725,0.393791982153
7-8,4,14,14.5,0,5,6.0,0,0,5.571428571428571,46,2313,0.377900249803
