id,npo,nsols,avg_naff,nfrozen,minr,avgr,minr_extr,minr_extl,npstn,nlo,bs,ac
3-1,1,1,3.0,3,0,0.0,0,0,1.6666666666666667,1,6,-0.325
3-2,2,2,3.0,1,1,1.0,0,0,2.0,2,6,-0.260337533649
4-1,1,1,17.0,4,5,5.0,2,2,2.5,3,23,-0.0473151774189
4-2,3,3,4.0,0,2,2.3333333333333335,0,0,3.0,5,24,-0.101656805361
4-3,2,4,4.0,0,1,1.0,0,0,2.75,4,24,-0.0652940515087
4-4,3,4,4.0,0,1,2.0,0,0,2.75,4,24,0.00446897605307
5-1,2,6,8.0,2,3,3.5,0,1,3.6,7,120,0.0569093995866
5-2,1,1,23.0,5,9,9.0,1,2,3.4,12,67,0.0453965014669
5-3,4,8,7.25,0,2,3.0,0,0,3.8,9,120,0.0215878867627
5-4,2,3,14.0,1,2,4.5,1,0,3.4,5,110,0.104454879197
5-5,1,1,27.0,5,8,8.0,1,2,3.6,13,53,-0.0981095104289
6-1,3,6,37.333333333333336,3,5,6.666666666666667,0,0,4.5,13,484,0.227373918777
6-2,4,14,6.0,0,3,4.0,0,0,4.5,18,663,0.25106030127
6-3,1,1,76.0,6,16,16.0,2,3,4.333333333333333,28,124,0.124046342771
6-4,7,16,11.285714285714286,0,6,6.714285714285714,0,0,4.5,19,690,0.220412676177
6-5,1,5,33.0,2,5,5.0,1,0,4.5,25,462,0.258059121139
6-6,2,4,51.5,1,6,6.0,0,2,4.5,18,426,0.297717705572
7-1,6,25,34.166666666666664,1,4,6.833333333333333,0,0,5.285714285714286,42,3094,0.372049717285
7-2,6,42,30.666666666666668,0,4,5.333333333333333,0,0,5.428571428571429,68,4104,0.393232843542
7-3,2,4,200.5,1,11,16.5,2,0,5.571428571428571,60,790,0.345720301372
7-4,1,8,7.0,0,0,0.0,0,0,5.285714285714286,53,1369,0.333806903795
7-5,6,50,11.333333333333334,0,4,5.666666666666667,0,0,5.571428571428571,60,4357,0.390630438468
7-6,10,22,51.3,0,7,9.4,1,0,5.571428571428571,80,3128,0.398453677348
7-7,10,33,23.6,0,6,7.8,0,0,5.714285714285714,55,3749,0.394929059294
7-8,4,14,14.5,0,5,6.0,0,0,5.571428571428571,46,2341,0.385705578166
